variableMetadata	accession	description	uniprot_id
Q91YH5_Atlastin-3	sp|Q91YH5|ATLA3_MOUSE	Atlastin-3  OS=Mus musculus (Mouse) GN=Atl3 PE=1 SV=1	Q91YH5
Q99L20_Glutathione S-transferas.	sp|Q99L20|GSTT3_MOUSE	Glutathione S-transferase theta-3  OS=Mus musculus (Mouse) GN=Gstt3 PE=1 SV=1	Q99L20
Q9DBN5_Lon protease homolog 2, .	sp|Q9DBN5|LONP2_MOUSE	Lon protease homolog 2, peroxisomal  OS=Mus musculus (Mouse) GN=Lonp2 PE=1 SV=1	Q9DBN5
P84084_ADP-ribosylation factor 5	sp|P84084|ARF5_MOUSE	ADP-ribosylation factor 5  OS=Mus musculus (Mouse) GN=Arf5 PE=1 SV=2	P84084
Q00519_Xanthine dehydrogenase/o.	sp|Q00519|XDH_MOUSE	Xanthine dehydrogenase/oxidase  OS=Mus musculus (Mouse) GN=Xdh PE=1 SV=5	Q00519
O09131_Glutathione S-transferas.	sp|O09131|GSTO1_MOUSE	Glutathione S-transferase omega-1  OS=Mus musculus (Mouse) GN=Gsto1 PE=1 SV=2	O09131
Q9QXY6_EH domain-containing pro.	sp|Q9QXY6|EHD3_MOUSE	EH domain-containing protein 3  OS=Mus musculus (Mouse) GN=Ehd3 PE=1 SV=2	Q9QXY6
P47962_60S ribosomal protein L5	sp|P47962|RL5_MOUSE	60S ribosomal protein L5  OS=Mus musculus (Mouse) GN=Rpl5 PE=1 SV=3	P47962
Q9CWS0_N(G),N(G)-dimethylargini.	sp|Q9CWS0|DDAH1_MOUSE	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1  OS=Mus musculus (Mouse) GN=Ddah1 PE=1 SV=3	Q9CWS0
P60335_Poly(rC)-binding protein.	sp|P60335|PCBP1_MOUSE	Poly(rC)-binding protein 1  OS=Mus musculus (Mouse) GN=Pcbp1 PE=1 SV=1	P60335
P30416_Peptidyl-prolyl cis-tran.	sp|P30416|FKBP4_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP4  OS=Mus musculus (Mouse) GN=Fkbp4 PE=1 SV=5	P30416
P80315_T-complex protein 1 subu.	sp|P80315|TCPD_MOUSE	T-complex protein 1 subunit delta  OS=Mus musculus (Mouse) GN=Cct4 PE=1 SV=3	P80315
O09174_Alpha-methylacyl-CoA rac.	sp|O09174|AMACR_MOUSE	Alpha-methylacyl-CoA racemase  OS=Mus musculus (Mouse) GN=Amacr PE=1 SV=4	O09174
P99029_Peroxiredoxin-5, mitocho.	sp|P99029|PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial  OS=Mus musculus (Mouse) GN=Prdx5 PE=1 SV=2	P99029
P60229_Eukaryotic translation i.	sp|P60229|EIF3E_MOUSE	Eukaryotic translation initiation factor 3 subunit E  OS=Mus musculus (Mouse) GN=Eif3e PE=1 SV=1	P60229
P49722_Proteasome subunit alpha.	sp|P49722|PSA2_MOUSE	Proteasome subunit alpha type-2  OS=Mus musculus (Mouse) GN=Psma2 PE=1 SV=3	P49722
P26231_Catenin alpha-1	sp|P26231|CTNA1_MOUSE	Catenin alpha-1  OS=Mus musculus (Mouse) GN=Ctnna1 PE=1 SV=1	P26231
Q9EQK5_Major vault protein	sp|Q9EQK5|MVP_MOUSE	Major vault protein  OS=Mus musculus (Mouse) GN=Mvp PE=1 SV=4	Q9EQK5
O55060_Thiopurine S-methyltrans.	sp|O55060|TPMT_MOUSE	Thiopurine S-methyltransferase  OS=Mus musculus (Mouse) GN=Tpmt PE=1 SV=1	O55060
P25444_40S ribosomal protein S2	sp|P25444|RS2_MOUSE	40S ribosomal protein S2  OS=Mus musculus (Mouse) GN=Rps2 PE=1 SV=3	P25444
Q9Z1N5_Spliceosome RNA helicase.	sp|Q9Z1N5|DX39B_MOUSE	Spliceosome RNA helicase Ddx39b  OS=Mus musculus (Mouse) GN=Ddx39b PE=1 SV=1	Q9Z1N5
Q91X52_L-xylulose reductase	sp|Q91X52|DCXR_MOUSE	L-xylulose reductase  OS=Mus musculus (Mouse) GN=Dcxr PE=1 SV=2	Q91X52
P61982_14-3-3 protein gamma	sp|P61982|1433G_MOUSE	14-3-3 protein gamma  OS=Mus musculus (Mouse) GN=Ywhag PE=1 SV=2	P61982
P62821_Ras-related protein Rab-.	sp|P62821|RAB1A_MOUSE	Ras-related protein Rab-1A  OS=Mus musculus (Mouse) GN=Rab1A PE=1 SV=3	P62821
P70691_UDP-glucuronosyltransfer.	sp|P70691|UD12_MOUSE	UDP-glucuronosyltransferase 1-2  OS=Mus musculus (Mouse) GN=Ugt1a2 PE=1 SV=1	P70691
O35969_Guanidinoacetate N-methy.	sp|O35969|GAMT_MOUSE	Guanidinoacetate N-methyltransferase  OS=Mus musculus (Mouse) GN=Gamt PE=1 SV=1	O35969
Q60930_Voltage-dependent anion-.	sp|Q60930|VDAC2_MOUSE	Voltage-dependent anion-selective channel protein 2  OS=Mus musculus (Mouse) GN=Vdac2 PE=1 SV=2	Q60930
Q8BUV3_Gephyrin	sp|Q8BUV3|GEPH_MOUSE	Gephyrin  OS=Mus musculus (Mouse) GN=Gphn PE=1 SV=2	Q8BUV3
P38060_Hydroxymethylglutaryl-Co.	sp|P38060|HMGCL_MOUSE	Hydroxymethylglutaryl-CoA lyase, mitochondrial  OS=Mus musculus (Mouse) GN=Hmgcl PE=1 SV=2	P38060
O55234_Proteasome subunit beta .	sp|O55234|PSB5_MOUSE	Proteasome subunit beta type-5  OS=Mus musculus (Mouse) GN=Psmb5 PE=1 SV=3	O55234
Q91WU5_Arsenite methyltransfera.	sp|Q91WU5|AS3MT_MOUSE	Arsenite methyltransferase  OS=Mus musculus (Mouse) GN=As3mt PE=1 SV=2	Q91WU5
P84091_AP-2 complex subunit mu	sp|P84091|AP2M1_MOUSE	AP-2 complex subunit mu  OS=Mus musculus (Mouse) GN=Ap2m1 PE=1 SV=1	P84091
Q9DD20_Methyltransferase-like p.	sp|Q9DD20|MET7B_MOUSE	Methyltransferase-like protein 7B  OS=Mus musculus (Mouse) GN=Mettl7b PE=1 SV=2	Q9DD20
Q9DCQ2_Putative L-aspartate deh.	sp|Q9DCQ2|ASPD_MOUSE	Putative L-aspartate dehydrogenase  OS=Mus musculus (Mouse) GN=Aspdh PE=1 SV=1	Q9DCQ2
Q9WVM8_Kynurenine/alpha-aminoad.	sp|Q9WVM8|AADAT_MOUSE	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Aadat PE=1 SV=1	Q9WVM8
P97364_Selenide, water dikinase.	sp|P97364|SPS2_MOUSE	Selenide, water dikinase 2  OS=Mus musculus (Mouse) GN=Sephs2 PE=1 SV=3	P97364
P50171_Estradiol 17-beta-dehydr.	sp|P50171|DHB8_MOUSE	Estradiol 17-beta-dehydrogenase 8  OS=Mus musculus (Mouse) GN=Hsd17b8 PE=1 SV=2	P50171
Q61656_Probable ATP-dependent R.	sp|Q61656|DDX5_MOUSE	Probable ATP-dependent RNA helicase DDX5  OS=Mus musculus (Mouse) GN=Ddx5 PE=1 SV=2	Q61656
P63037_DnaJ homolog subfamily A.	sp|P63037|DNJA1_MOUSE	DnaJ homolog subfamily A member 1  OS=Mus musculus (Mouse) GN=Dnaja1 PE=1 SV=1	P63037
P00493_Hypoxanthine-guanine pho.	sp|P00493|HPRT_MOUSE	Hypoxanthine-guanine phosphoribosyltransferase  OS=Mus musculus (Mouse) GN=Hprt1 PE=1 SV=3	P00493
O55029_Coatomer subunit beta'	sp|O55029|COPB2_MOUSE	Coatomer subunit beta'  OS=Mus musculus (Mouse) GN=Copb2 PE=1 SV=2	O55029
O70251_Elongation factor 1-beta	sp|O70251|EF1B_MOUSE	Elongation factor 1-beta  OS=Mus musculus (Mouse) GN=Eef1b PE=1 SV=5	O70251
Q7TMK9_Heterogeneous nuclear ri.	sp|Q7TMK9|HNRPQ_MOUSE	Heterogeneous nuclear ribonucleoprotein Q  OS=Mus musculus (Mouse) GN=Syncrip PE=1 SV=2	Q7TMK9
Q5YD48_APOBEC1 complementation .	sp|Q5YD48|A1CF_MOUSE	APOBEC1 complementation factor  OS=Mus musculus (Mouse) GN=A1cf PE=1 SV=2	Q5YD48
Q8R146_Acylamino-acid-releasing.	sp|Q8R146|APEH_MOUSE	Acylamino-acid-releasing enzyme  OS=Mus musculus (Mouse) GN=Apeh PE=1 SV=3	Q8R146
P61750_ADP-ribosylation factor 4	sp|P61750|ARF4_MOUSE	ADP-ribosylation factor 4  OS=Mus musculus (Mouse) GN=Arf4 PE=1 SV=2	P61750
P14148_60S ribosomal protein L7	sp|P14148|RL7_MOUSE	60S ribosomal protein L7  OS=Mus musculus (Mouse) GN=Rpl7 PE=1 SV=2	P14148
P08752_Guanine nucleotide-bindi.	sp|P08752|GNAI2_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2  OS=Mus musculus (Mouse) GN=Gnai2 PE=1 SV=5	P08752
P47791_Glutathione reductase, m.	sp|P47791|GSHR_MOUSE	Glutathione reductase, mitochondrial  OS=Mus musculus (Mouse) GN=Gsr PE=1 SV=3	P47791
P26041_Moesin	sp|P26041|MOES_MOUSE	Moesin  OS=Mus musculus (Mouse) GN=Msn PE=1 SV=3	P26041
Q571I9_Aldehyde dehydrogenase f.	sp|Q571I9|A16A1_MOUSE	Aldehyde dehydrogenase family 16 member A1  OS=Mus musculus (Mouse) GN=Aldh16a1 PE=1 SV=2	Q571I9
Q3TLP5_Enoyl-CoA hydratase doma.	sp|Q3TLP5|ECHD2_MOUSE	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial  OS=Mus musculus (Mouse) GN=Echdc2 PE=1 SV=2	Q3TLP5
P52480_Pyruvate kinase PKM	sp|P52480|KPYM_MOUSE	Pyruvate kinase PKM  OS=Mus musculus (Mouse) GN=Pkm PE=1 SV=4	P52480
Q9R1P0_Proteasome subunit alpha.	sp|Q9R1P0|PSA4_MOUSE	Proteasome subunit alpha type-4  OS=Mus musculus (Mouse) GN=Psma4 PE=1 SV=1	Q9R1P0
Q8VC97_Beta-ureidopropionase	sp|Q8VC97|BUP1_MOUSE	Beta-ureidopropionase  OS=Mus musculus (Mouse) GN=Upb1 PE=1 SV=1	Q8VC97
Q9R1P4_Proteasome subunit alpha.	sp|Q9R1P4|PSA1_MOUSE	Proteasome subunit alpha type-1  OS=Mus musculus (Mouse) GN=Psma1 PE=1 SV=1	Q9R1P4
P47911_60S ribosomal protein L6	sp|P47911|RL6_MOUSE	60S ribosomal protein L6  OS=Mus musculus (Mouse) GN=Rpl6 PE=1 SV=3	P47911
P24472_Glutathione S-transferas.	sp|P24472|GSTA4_MOUSE	Glutathione S-transferase A4  OS=Mus musculus (Mouse) GN=Gsta4 PE=1 SV=3	P24472
P10854_Histone H2B type 1-M	sp|P10854|H2B1M_MOUSE	Histone H2B type 1-M  OS=Mus musculus (Mouse) GN=Hist1h2bm PE=1 SV=2	P10854
P07356_Annexin A2	sp|P07356|ANXA2_MOUSE	Annexin A2  OS=Mus musculus (Mouse) GN=Anxa2 PE=1 SV=2	P07356
O55143_Sarcoplasmic/endoplasmic.	sp|O55143|AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2  OS=Mus musculus (Mouse) GN=Atp2a2 PE=1 SV=2	O55143
Q8JZN5_Acyl-CoA dehydrogenase f.	sp|Q8JZN5|ACAD9_MOUSE	Acyl-CoA dehydrogenase family member 9, mitochondrial  OS=Mus musculus (Mouse) GN=Acad9 PE=1 SV=2	Q8JZN5
P01942_Hemoglobin subunit alpha	sp|P01942|HBA_MOUSE	Hemoglobin subunit alpha  OS=Mus musculus (Mouse) GN=Hba PE=1 SV=2	P01942
P62141_Serine/threonine-protein.	sp|P62141|PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit  OS=Mus musculus (Mouse) GN=Ppp1cb PE=1 SV=3	P62141
P97372_Proteasome activator com.	sp|P97372|PSME2_MOUSE	Proteasome activator complex subunit 2  OS=Mus musculus (Mouse) GN=Psme2 PE=1 SV=4	P97372
Q9JLT4_Thioredoxin reductase 2,.	sp|Q9JLT4|TRXR2_MOUSE	Thioredoxin reductase 2, mitochondrial  OS=Mus musculus (Mouse) GN=Txnrd2 PE=1 SV=4	Q9JLT4
Q8CC88_von Willebrand factor A .	sp|Q8CC88|VWA8_MOUSE	von Willebrand factor A domain-containing protein 8  OS=Mus musculus (Mouse) GN=Vwa8 PE=1 SV=2	Q8CC88
Q8BGC4_Prostaglandin reductase-3	sp|Q8BGC4|PTGR3_MOUSE	Prostaglandin reductase-3  OS=Mus musculus (Mouse) GN=Zadh2 PE=1 SV=1	Q8BGC4
P97351_40S ribosomal protein S3a	sp|P97351|RS3A_MOUSE	40S ribosomal protein S3a  OS=Mus musculus (Mouse) GN=Rps3a PE=1 SV=3	P97351
P12790_Cytochrome P450 2B9	sp|P12790|CP2B9_MOUSE	Cytochrome P450 2B9  OS=Mus musculus (Mouse) GN=Cyp2b9 PE=1 SV=2	P12790
Q05816_Fatty acid-binding prote.	sp|Q05816|FABP5_MOUSE	Fatty acid-binding protein 5  OS=Mus musculus (Mouse) GN=Fabp5 PE=1 SV=3	Q05816
Q8BWN8_Acyl-coenzyme A thioeste.	sp|Q8BWN8|ACOT4_MOUSE	Acyl-coenzyme A thioesterase 4  OS=Mus musculus (Mouse) GN=Acot4 PE=1 SV=1	Q8BWN8
Q9D7G0_Ribose-phosphate pyropho.	sp|Q9D7G0|PRPS1_MOUSE	Ribose-phosphate pyrophosphokinase 1  OS=Mus musculus (Mouse) GN=Prps1 PE=1 SV=4	Q9D7G0
Q8BH86_D-glutamate cyclase, mit.	sp|Q8BH86|GLUCM_MOUSE	D-glutamate cyclase, mitochondrial  OS=Mus musculus (Mouse) GN=Dglucy PE=1 SV=1	Q8BH86
Q9D6M3_Mitochondrial glutamate .	sp|Q9D6M3|GHC1_MOUSE	Mitochondrial glutamate carrier 1  OS=Mus musculus (Mouse) GN=Slc25a22 PE=1 SV=1	Q9D6M3
Q6ZWV3_60S ribosomal protein L10	sp|Q6ZWV3|RL10_MOUSE	60S ribosomal protein L10  OS=Mus musculus (Mouse) GN=Rpl10 PE=1 SV=3	Q6ZWV3
Q8VCA8_Secernin-2	sp|Q8VCA8|SCRN2_MOUSE	Secernin-2  OS=Mus musculus (Mouse) GN=Scrn2 PE=1 SV=1	Q8VCA8
P17426_AP-2 complex subunit alp.	sp|P17426|AP2A1_MOUSE	AP-2 complex subunit alpha-1  OS=Mus musculus (Mouse) GN=Ap2a1 PE=1 SV=1	P17426
P26516_26S proteasome non-ATPas.	sp|P26516|PSMD7_MOUSE	26S proteasome non-ATPase regulatory subunit 7  OS=Mus musculus (Mouse) GN=Psmd7 PE=1 SV=2	P26516
Q8BFZ3_Beta-actin-like protein 2	sp|Q8BFZ3|ACTBL_MOUSE	Beta-actin-like protein 2  OS=Mus musculus (Mouse) GN=Actbl2 PE=1 SV=1	Q8BFZ3
Q9QYJ0_DnaJ homolog subfamily A.	sp|Q9QYJ0|DNJA2_MOUSE	DnaJ homolog subfamily A member 2  OS=Mus musculus (Mouse) GN=Dnaja2 PE=1 SV=1	Q9QYJ0
Q8BWY3_Eukaryotic peptide chain.	sp|Q8BWY3|ERF1_MOUSE	Eukaryotic peptide chain release factor subunit 1  OS=Mus musculus (Mouse) GN=Etf1 PE=1 SV=4	Q8BWY3
Q9D1G1_Ras-related protein Rab-.	sp|Q9D1G1|RAB1B_MOUSE	Ras-related protein Rab-1B  OS=Mus musculus (Mouse) GN=Rab1b PE=1 SV=1	Q9D1G1
Q9EQ06_Estradiol 17-beta-dehydr.	sp|Q9EQ06|DHB11_MOUSE	Estradiol 17-beta-dehydrogenase 11  OS=Mus musculus (Mouse) GN=Hsd17b11 PE=1 SV=1	Q9EQ06
O35678_Monoglyceride lipase	sp|O35678|MGLL_MOUSE	Monoglyceride lipase  OS=Mus musculus (Mouse) GN=Mgll PE=1 SV=1	O35678
Q9D2G2_Dihydrolipoyllysine-resi.	sp|Q9D2G2|ODO2_MOUSE	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial  OS=Mus musculus (Mouse) GN=Dlst PE=1 SV=1	Q9D2G2
Q9CQC9_GTP-binding protein SAR1b	sp|Q9CQC9|SAR1B_MOUSE	GTP-binding protein SAR1b  OS=Mus musculus (Mouse) GN=Sar1b PE=1 SV=1	Q9CQC9
Q9DCM0_Persulfide dioxygenase E.	sp|Q9DCM0|ETHE1_MOUSE	Persulfide dioxygenase ETHE1, mitochondrial  OS=Mus musculus (Mouse) GN=Ethe1 PE=1 SV=2	Q9DCM0
Q8VEK3_Heterogeneous nuclear ri.	sp|Q8VEK3|HNRPU_MOUSE	Heterogeneous nuclear ribonucleoprotein U  OS=Mus musculus (Mouse) GN=Hnrnpu PE=1 SV=1	Q8VEK3
Q9R257_Heme-binding protein 1	sp|Q9R257|HEBP1_MOUSE	Heme-binding protein 1  OS=Mus musculus (Mouse) GN=Hebp1 PE=1 SV=2	Q9R257
Q3UZZ6_Sulfotransferase 1 famil.	sp|Q3UZZ6|ST1D1_MOUSE	Sulfotransferase 1 family member D1  OS=Mus musculus (Mouse) GN=Sult1d1 PE=1 SV=1	Q3UZZ6
Q91VR2_ATP synthase subunit gam.	sp|Q91VR2|ATPG_MOUSE	ATP synthase subunit gamma, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5f1c PE=1 SV=1	Q91VR2
P51150_Ras-related protein Rab-.	sp|P51150|RAB7A_MOUSE	Ras-related protein Rab-7a  OS=Mus musculus (Mouse) GN=Rab7a PE=1 SV=2	P51150
E9PV24_Fibrinogen alpha chain	sp|E9PV24|FIBA_MOUSE	Fibrinogen alpha chain  OS=Mus musculus (Mouse) GN=Fga PE=1 SV=1	E9PV24
Q8K157_Aldose 1-epimerase	sp|Q8K157|GALM_MOUSE	Aldose 1-epimerase  OS=Mus musculus (Mouse) GN=Galm PE=1 SV=1	Q8K157
P24457_Cytochrome P450 2D11	sp|P24457|CP2DB_MOUSE	Cytochrome P450 2D11  OS=Mus musculus (Mouse) GN=Cyp2d11 PE=2 SV=2	P24457
Q8VCC1_15-hydroxyprostaglandin .	sp|Q8VCC1|PGDH_MOUSE	15-hydroxyprostaglandin dehydrogenase [NAD(+)]  OS=Mus musculus (Mouse) GN=Hpgd PE=1 SV=1	Q8VCC1
O35386_Phytanoyl-CoA dioxygenas.	sp|O35386|PAHX_MOUSE	Phytanoyl-CoA dioxygenase, peroxisomal  OS=Mus musculus (Mouse) GN=Phyh PE=1 SV=1	O35386
P47754_F-actin-capping protein .	sp|P47754|CAZA2_MOUSE	F-actin-capping protein subunit alpha-2  OS=Mus musculus (Mouse) GN=Capza2 PE=1 SV=3	P47754
P16546_Spectrin alpha chain, no.	sp|P16546|SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1  OS=Mus musculus (Mouse) GN=Sptan1 PE=1 SV=4	P16546
Q9DBW0_Cytochrome P450 4V2	sp|Q9DBW0|CP4V2_MOUSE	Cytochrome P450 4V2  OS=Mus musculus (Mouse) GN=Cyp4v2 PE=1 SV=1	Q9DBW0
Q9CRB3_5-hydroxyisourate hydrol.	sp|Q9CRB3|HIUH_MOUSE	5-hydroxyisourate hydrolase  OS=Mus musculus (Mouse) GN=Urah PE=1 SV=1	Q9CRB3
P62242_40S ribosomal protein S8	sp|P62242|RS8_MOUSE	40S ribosomal protein S8  OS=Mus musculus (Mouse) GN=Rps8 PE=1 SV=2	P62242
Q91V64_Isochorismatase domain-c.	sp|Q91V64|ISOC1_MOUSE	Isochorismatase domain-containing protein 1  OS=Mus musculus (Mouse) GN=Isoc1 PE=1 SV=1	Q91V64
P63087_Serine/threonine-protein.	sp|P63087|PP1G_MOUSE	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit  OS=Mus musculus (Mouse) GN=Ppp1cc PE=1 SV=1	P63087
Q922Q8_Leucine-rich repeat-cont.	sp|Q922Q8|LRC59_MOUSE	Leucine-rich repeat-containing protein 59  OS=Mus musculus (Mouse) GN=Lrrc59 PE=1 SV=1	Q922Q8
P09671_Superoxide dismutase [Mn.	sp|P09671|SODM_MOUSE	Superoxide dismutase [Mn], mitochondrial  OS=Mus musculus (Mouse) GN=Sod2 PE=1 SV=3	P09671
O08807_Peroxiredoxin-4	sp|O08807|PRDX4_MOUSE	Peroxiredoxin-4  OS=Mus musculus (Mouse) GN=Prdx4 PE=1 SV=1	O08807
Q61171_Peroxiredoxin-2	sp|Q61171|PRDX2_MOUSE	Peroxiredoxin-2  OS=Mus musculus (Mouse) GN=Prdx2 PE=1 SV=3	Q61171
Q8R0V5_Indoleamine 2,3-dioxygen.	sp|Q8R0V5|I23O2_MOUSE	Indoleamine 2,3-dioxygenase 2  OS=Mus musculus (Mouse) GN=Ido2 PE=1 SV=3	Q8R0V5
Q9Z2U1_Proteasome subunit alpha.	sp|Q9Z2U1|PSA5_MOUSE	Proteasome subunit alpha type-5  OS=Mus musculus (Mouse) GN=Psma5 PE=1 SV=1	Q9Z2U1
P28843_Dipeptidyl peptidase 4	sp|P28843|DPP4_MOUSE	Dipeptidyl peptidase 4  OS=Mus musculus (Mouse) GN=Dpp4 PE=1 SV=3	P28843
O08553_Dihydropyrimidinase-rela.	sp|O08553|DPYL2_MOUSE	Dihydropyrimidinase-related protein 2  OS=Mus musculus (Mouse) GN=Dpysl2 PE=1 SV=2	O08553
Q9DBP5_UMP-CMP kinase	sp|Q9DBP5|KCY_MOUSE	UMP-CMP kinase  OS=Mus musculus (Mouse) GN=Cmpk1 PE=1 SV=1	Q9DBP5
P15532_Nucleoside diphosphate k.	sp|P15532|NDKA_MOUSE	Nucleoside diphosphate kinase A  OS=Mus musculus (Mouse) GN=Nme1 PE=1 SV=1	P15532
Q9D5J6_Sedoheptulokinase	sp|Q9D5J6|SHPK_MOUSE	Sedoheptulokinase  OS=Mus musculus (Mouse) GN=Shpk PE=1 SV=1	Q9D5J6
P61620_Protein transport protei.	sp|P61620|S61A1_MOUSE	Protein transport protein Sec61 subunit alpha isoform 1  OS=Mus musculus (Mouse) GN=Sec61a1 PE=1 SV=2	P61620
Q9DC51_Guanine nucleotide-bindi.	sp|Q9DC51|GNAI3_MOUSE	Guanine nucleotide-binding protein G(k) subunit alpha  OS=Mus musculus (Mouse) GN=Gnai3 PE=1 SV=3	Q9DC51
Q8VCZ9_Hydroxyproline dehydroge.	sp|Q8VCZ9|HYPDH_MOUSE	Hydroxyproline dehydrogenase  OS=Mus musculus (Mouse) GN=Prodh2 PE=1 SV=1	Q8VCZ9
Q8QZY2_Glycerate kinase	sp|Q8QZY2|GLCTK_MOUSE	Glycerate kinase  OS=Mus musculus (Mouse) GN=Glyctk PE=1 SV=1	Q8QZY2
P63276_40S ribosomal protein S17	sp|P63276|RS17_MOUSE	40S ribosomal protein S17  OS=Mus musculus (Mouse) GN=Rps17 PE=1 SV=2	P63276
Q9JJL3_Solute carrier organic a.	sp|Q9JJL3|SO1B2_MOUSE	Solute carrier organic anion transporter family member 1B2  OS=Mus musculus (Mouse) GN=Slco1b2 PE=1 SV=1	Q9JJL3
Q9CVB6_Actin-related protein 2/.	sp|Q9CVB6|ARPC2_MOUSE	Actin-related protein 2/3 complex subunit 2  OS=Mus musculus (Mouse) GN=Arpc2 PE=1 SV=3	Q9CVB6
Q8CDN6_Thioredoxin-like protein.	sp|Q8CDN6|TXNL1_MOUSE	Thioredoxin-like protein 1  OS=Mus musculus (Mouse) GN=Txnl1 PE=1 SV=3	Q8CDN6
O88533_Aromatic-L-amino-acid de.	sp|O88533|DDC_MOUSE	Aromatic-L-amino-acid decarboxylase  OS=Mus musculus (Mouse) GN=Ddc PE=1 SV=1	O88533
P12791_Cytochrome P450 2B10	sp|P12791|CP2BA_MOUSE	Cytochrome P450 2B10  OS=Mus musculus (Mouse) GN=Cyp2b10 PE=1 SV=1	P12791
P35979_60S ribosomal protein L12	sp|P35979|RL12_MOUSE	60S ribosomal protein L12  OS=Mus musculus (Mouse) GN=Rpl12 PE=1 SV=2	P35979
Q9QYY9_Alcohol dehydrogenase 4	sp|Q9QYY9|ADH4_MOUSE	Alcohol dehydrogenase 4  OS=Mus musculus (Mouse) GN=Adh4 PE=1 SV=4	Q9QYY9
P20108_Thioredoxin-dependent pe.	sp|P20108|PRDX3_MOUSE	Thioredoxin-dependent peroxide reductase, mitochondrial  OS=Mus musculus (Mouse) GN=Prdx3 PE=1 SV=1	P20108
Q8K0C4_Lanosterol 14-alpha deme.	sp|Q8K0C4|CP51A_MOUSE	Lanosterol 14-alpha demethylase  OS=Mus musculus (Mouse) GN=Cyp51a1 PE=1 SV=1	Q8K0C4
Q60605_Myosin light polypeptide.	sp|Q60605|MYL6_MOUSE	Myosin light polypeptide 6  OS=Mus musculus (Mouse) GN=Myl6 PE=1 SV=3	Q60605
Q99LF4_tRNA-splicing ligase Rtc.	sp|Q99LF4|RTCB_MOUSE	tRNA-splicing ligase RtcB homolog  OS=Mus musculus (Mouse) GN=Rtcb PE=1 SV=1	Q99LF4
O35465_Peptidyl-prolyl cis-tran.	sp|O35465|FKBP8_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP8  OS=Mus musculus (Mouse) GN=Fkbp8 PE=1 SV=2	O35465
P58281_Dynamin-like 120 kDa pro.	sp|P58281|OPA1_MOUSE	Dynamin-like 120 kDa protein, mitochondrial  OS=Mus musculus (Mouse) GN=Opa1 PE=1 SV=1	P58281
Q9CQX2_Cytochrome b5 type B	sp|Q9CQX2|CYB5B_MOUSE	Cytochrome b5 type B  OS=Mus musculus (Mouse) GN=Cyb5b PE=1 SV=1	Q9CQX2
Q61586_Glycerol-3-phosphate acy.	sp|Q61586|GPAT1_MOUSE	Glycerol-3-phosphate acyltransferase 1, mitochondrial  OS=Mus musculus (Mouse) GN=Gpam PE=1 SV=2	Q61586
O55022_Membrane-associated prog.	sp|O55022|PGRC1_MOUSE	Membrane-associated progesterone receptor component 1  OS=Mus musculus (Mouse) GN=Pgrmc1 PE=1 SV=4	O55022
P70404_Isocitrate dehydrogenase.	sp|P70404|IDHG1_MOUSE	Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial  OS=Mus musculus (Mouse) GN=Idh3g PE=1 SV=1	P70404
Q3UNX5_Acyl-coenzyme A syntheta.	sp|Q3UNX5|ACSM3_MOUSE	Acyl-coenzyme A synthetase ACSM3, mitochondrial  OS=Mus musculus (Mouse) GN=Acsm3 PE=1 SV=2	Q3UNX5
Q9CQF9_Prenylcysteine oxidase	sp|Q9CQF9|PCYOX_MOUSE	Prenylcysteine oxidase  OS=Mus musculus (Mouse) GN=Pcyox1 PE=1 SV=1	Q9CQF9
Q00623_Apolipoprotein A-I	sp|Q00623|APOA1_MOUSE	Apolipoprotein A-I  OS=Mus musculus (Mouse) GN=Apoa1 PE=1 SV=2	Q00623
A2AS89_Agmatinase, mitochondrial	sp|A2AS89|SPEB_MOUSE	Agmatinase, mitochondrial  OS=Mus musculus (Mouse) GN=Agmat PE=1 SV=1	A2AS89
P17879_Heat shock 70 kDa protei.	sp|P17879|HS71B_MOUSE	Heat shock 70 kDa protein 1B  OS=Mus musculus (Mouse) GN=Hspa1b PE=1 SV=3	P17879
Q9EP69_Phosphatidylinositide ph.	sp|Q9EP69|SAC1_MOUSE	Phosphatidylinositide phosphatase SAC1  OS=Mus musculus (Mouse) GN=Sacm1l PE=1 SV=1	Q9EP69
Q9EP89_Serine beta-lactamase-li.	sp|Q9EP89|LACTB_MOUSE	Serine beta-lactamase-like protein LACTB, mitochondrial  OS=Mus musculus (Mouse) GN=Lactb PE=1 SV=1	Q9EP89
