variableMetadata	category	measurement	category_full	transformation	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2
Haematology_MPV..fL.	Haematology	MPV (fL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.199242424	0.696839525	0	0.136153846	0.390509145	0	NA	2.15633165
Haematology_NEUTRO..x10E03.cells.µL.	Haematology	NEUTRO (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.039160839	0.96655832	0	-0.115244755	0.308063849	0	NA	0.009810026
Haematology_NEUTRO.BRUT..x10E03.cells.µL.	Haematology	NEUTRO BRUT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.01958042	0.96655832	0	-0.057622378	0.507373118	0	NA	0.009810026
Haematology_PLT..x10E03.cells.µL.	Haematology	PLT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-97.42424242	0.949907781	0	-238.9538462	0.033392791	1	NA	0.868663339
Haematology_PLT.brut..x10E03.cells.µL.	Haematology	PLT brut (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-48.71212121	0.949907781	0	-119.4769231	0.033392791	1	NA	0.868663339
Haematology_RBC..x10E06.cells.µL.	Haematology	RBC (x10E06 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.501678322	0.696839525	0	-0.505314685	0.240709486	0	NA	1.788584592
Haematology_RBC.brut..x10E06.cells.µL.	Haematology	RBC brut (x10E06 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.250839161	0.696839525	0	-0.252657343	0.262226409	0	NA	1.788584592
Haematology_RDW....	Haematology	RDW (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.03006993	0.96655832	0	-0.08041958	0.826783225	0	NA	0.366912651
Haematology_WBC..x10E03.cells.µL.	Haematology	WBC (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	normal	NA	NA	NA	NA	NA	NA	-0.930909091	0.703332666	0	-1.747692308	0.009022364	1	NA	0.696104809
Haematology_WBC.brut..x10E03.cells.µL.	Haematology	WBC brut (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	normal	NA	NA	NA	NA	NA	NA	-0.465454545	0.703332666	0	-0.873846154	0.00944868	1	NA	0.696104809
Hot.plate_Body.weight..g.	Hot plate	Body weight (g)	Hot plate test	normal	-0.242051282	0.959070679	0	-4.8	3.56E-07	1	-0.06952381	0.96655832	0	-5.226923077	7.95E-09	1	0.526857116	0.272337071
Hot.plate_Hot.plate.1..s.	Hot plate	Hot plate 1 (s)	Hot plate test	normal	1.186358974	0.959070679	0	0.042857143	0.947537928	0	0.000809524	0.988577917	0	-0.841778846	0.682130842	0	0.716656351	0.479119424
Open.field_..Time.Spent.in.the.Center.I1..cm.	Open field	% Time Spent in the Center I1 (cm)	Open field test	log	-2.223076923	0.959070679	0	-1.764285714	0.428786778	0	-0.807142857	0.96655832	0	-5.042307692	0.011626542	1	1.450655969	0.005814578
Open.field_..Time.Spent.in.the.Center.I2..cm.	Open field	% Time Spent in the Center I2 (cm)	Open field test	log	-2.038974359	0.959070679	0	1.514285714	0.586607079	0	-2.875238095	0.696839525	0	-1.218269231	0.63875303	0	1.702185041	1.525453518
Open.field_..Time.Spent.in.the.Center.I3..cm.	Open field	% Time Spent in the Center I3 (cm)	Open field test	log	-1.658461538	0.981339142	0	2	0.593061431	0	1.558571429	0.954809836	0	-2.699038462	0.390915531	0	0.432681848	0.898409494
Open.field_..Time.Spent.in.the.Center.I4..cm.	Open field	% Time Spent in the Center I4 (cm)	Open field test	log	-1.320512821	0.977341977	0	0.607142857	0.837629105	0	2.704761905	0.918771419	0	0.326442308	0.960669532	0	0.767065059	0.843595483
Open.field_..distance.in.the.Center.I1..cm.	Open field	% distance in the Center I1 (cm)	Open field test	log	-3.159487179	0.681400557	0	-1.778571429	0.428786778	0	-0.734761905	0.96655832	0	-4.759615385	0.033392791	1	1.627844685	0.0920846
Open.field_..distance.in.the.Center.I2..cm.	Open field	% distance in the Center I2 (cm)	Open field test	log	-2.866153846	0.959070679	0	1.292857143	0.739718538	0	-3.241428571	0.696839525	0	-0.959615385	0.813920406	0	1.782977286	1.314894179
Open.field_..distance.in.the.Center.I3..cm.	Open field	% distance in the Center I3 (cm)	Open field test	log	-1.827179487	0.981339142	0	2.921428571	0.478573165	0	3.490952381	0.703332666	0	-0.967307692	0.813920406	0	0.662287159	1.266090558
Open.field_..distance.in.the.Center.I4..cm.	Open field	% distance in the Center I4 (cm)	Open field test	log	-2.144102564	0.959070679	0	2.15	0.537377774	0	2.572380952	0.911710192	0	-0.80625	0.826783225	0	1.029790383	0.904112184
Open.field_..distance.in.the.Center.glob...cm.	Open field	% distance in the Center glob. (cm)	Open field test	log	-2.664102564	0.681400557	0	0.892857143	0.739718538	0	0.402380952	0.96655832	0	-2.208653846	0.240709486	0	1.904124125	0.437683791
Open.field_.Time.Spent.in.the.Center.glob	Open field	%Time Spent in the Center glob	Open field test	log	-1.790769231	0.959070679	0	0.585714286	0.790192227	0	0.175714286	0.96655832	0	-2.149519231	0.240709486	0	1.537697488	0.381613812
Open.field_Dist.I1..cm.	Open field	Dist I1 (cm)	Open field test	normal	60.29487179	0.981339142	0	111.4785714	0.635222497	0	128.5619048	0.916368343	0	3.974038462	0.999081774	0	0.694958657	1.436156526
Open.field_Dist.I2..cm.	Open field	Dist I2 (cm)	Open field test	normal	50.8425641	0.981339142	0	84.15	0.586607079	0	-3.840952381	0.99326451	0	-139.5427885	0.330873168	0	1.222853107	0.636202816
Open.field_Dist.I3..cm.	Open field	Dist I3 (cm)	Open field test	normal	23.65948718	0.981339142	0	127.0571429	0.593061431	0	29.3847619	0.96655832	0	-132.54375	0.466817771	0	0.645840239	0.75232609
Open.field_Dist.I4..cm.	Open field	Dist I4 (cm)	Open field test	normal	0.974871795	0.981339142	0	229.3357143	0.194104722	0	75.07047619	0.954809836	0	50.91153846	0.826783225	0	0.848586158	0.940573856
Open.field_Dist.global..cm.	Open field	Dist global (cm)	Open field test	normal	135.7938462	0.981339142	0	552	0.428786778	0	229.1542857	0.954809836	0	-217.2182692	0.756297161	0	0.940973291	1.144690677
Open.field_Distance.center..cm.	Open field	Distance center (cm)	Open field test	normal	-194.0415385	0.959070679	0	150.2214286	0.639780838	0	76.65571429	0.954809836	0	-232.3596154	0.260404503	0	0.946500221	0.876231533
Open.field_Distance.periphery..cm.	Open field	Distance periphery (cm)	Open field test	normal	329.7825641	0.959070679	0	401.7571429	0.428786778	0	152.5133333	0.954809836	0	15.15240385	0.99397647	0	1.718590494	0.989768533
Open.field_Distance.whole.arena..cm.	Open field	Distance whole arena (cm)	Open field test	normal	135.7938462	0.981339142	0	552	0.428786778	0	229.1542857	0.954809836	0	-217.2182692	0.756297161	0	0.940973291	1.144690677
Open.field_Latency.center..s.	Open field	Latency center (s)	Open field test	log	7.446153846	0.959070679	0	4.028571429	0.70615475	0	-7.214285714	0.703332666	0	5.454807692	0.474149781	0	0.605857277	1.234210644
Open.field_NEntries.center	Open field	NEntries center	Open field test	sqrt	-3.302564103	0.981339142	0	13	0.153393608	0	4.895238095	0.954809836	0	-1.302884615	0.912505004	0	0.342594233	0.866404673
Open.field_Number.of.Rearings.I1	Open field	Number of Rearings I1	Open field test	normal	-1.297435897	0.981339142	0	0.071428571	0.995470993	0	4.576190476	0.802469154	0	-5.216346154	0.388354438	0	0.04798555	0.964827204
Open.field_Number.of.Rearings.I2	Open field	Number of Rearings I2	Open field test	normal	-3.528205128	0.959070679	0	-4.857142857	0.470919358	0	0.004761905	0.970717645	0	-14.23557692	0.014541808	1	0.120347462	0.399092049
Open.field_Number.of.Rearings.I3	Open field	Number of Rearings I3	Open field test	normal	-0.702564103	0.981339142	0	-3.785714286	0.70615475	0	-2.147619048	0.96655832	0	-15.66346154	0.009592127	1	0.180707923	0.005821033
Open.field_Number.of.Rearings.I4	Open field	Number of Rearings I4	Open field test	normal	4.348717949	0.959070679	0	-3	0.70615475	0	5.019047619	0.698154206	0	-11.99519231	0.014752196	1	0.972041476	1.025931658
Open.field_Number.of.Rearings.global	Open field	Number of Rearings global	Open field test	normal	-1.179487179	0.981339142	0	-11.57142857	0.689735822	0	7.452380952	0.954809836	0	-47.11057692	0.01109855	1	0.15098975	0.659389395
Open.field_Permanence.Time.center..s.	Open field	Permanence Time center (s)	Open field test	normal	-21.79794872	0.959070679	0	7.071428571	0.790192227	0	1.72952381	0.96655832	0	-25.92884615	0.240709486	0	1.546570359	0.365719174
Open.field_Permanence.Time.periphery..s.	Open field	Permanence Time periphery (s)	Open field test	normal	21.79794872	0.959070679	0	-7.071428571	0.790192227	0	-1.72952381	0.96655832	0	25.92884615	0.240709486	0	1.546570359	0.365719174
Open.field_Resting.Time.center..s.	Open field	Resting Time center (s)	Open field test	normal	-2.303589744	0.959070679	0	-3.028571429	0.378650875	0	1.701904762	0.96655832	0	1.175	0.886611508	0	1.429655621	0.186033025
Open.field_Resting.Time.periphery..s.	Open field	Resting Time periphery (s)	Open field test	normal	-20.44512821	0.981339142	0	-3.342857143	0.908546857	0	-13.09238095	0.954809836	0	42.27596154	0.240709486	0	1.148852291	1.020893172
Open.field_Resting.Time.whole.arena..s.	Open field	Resting Time whole arena (s)	Open field test	normal	-22.72	0.959070679	0	-6.371428571	0.837629105	0	-11.40571429	0.954809836	0	43.44134615	0.232145604	0	1.272216203	1.006380437
Open.field_av..speed.center..cm.s.	Open field	av. speed center (cm/s)	Open field test	normal	0.121948718	0.981339142	0	0.347142857	0.643378138	0	0.823761905	0.696839525	0	0.711682692	0.240709486	0	0.767826671	1.644190326
Open.field_av..speed.periphery..cm.s.	Open field	av. speed periphery (cm/s)	Open field test	normal	-0.075897436	0.981339142	0	0.545714286	0.079831726	0	0.048333333	0.96655832	0	0.223076923	0.51741906	0	0.471196322	0.726409422
Open.field_av..speed.whole.arena..cm.s.	Open field	av. speed whole arena (cm/s)	Open field test	normal	-0.102923077	0.981339142	0	0.535	0.125263432	0	0.124714286	0.954809836	0	0.216201923	0.558466426	0	0.327500638	0.993346499
Pavlovian.fear.cond._Freezing.....Con.1	Pavlovian fear cond.	Freezing (%) Con-1	Pavlovian fear conditioning	non parametric	-10.40071795	0.959070679	0	-5.118571429	0.70615475	0	-14.88747619	0.696839525	0	0.947740385	0.912505004	0	1.324063958	1.723089343
Pavlovian.fear.cond._Freezing.....Con.2	Pavlovian fear cond.	Freezing (%) Con-2	Pavlovian fear conditioning	non parametric	-2.990717949	0.981339142	0	10.475	0.461415919	0	-6.50747619	0.934434446	0	14.13322115	0.175988471	0	0.552537045	1.28616053
Pavlovian.fear.cond._Freezing.....Con.3	Pavlovian fear cond.	Freezing (%) Con-3	Pavlovian fear conditioning	non parametric	1.853641026	0.981339142	0	20.12	0.058130149	0	1.99347619	0.96655832	0	26.03355769	0.00910107	1	0.088360662	0.409973078
Pavlovian.fear.cond._Freezing.....Cue.1	Pavlovian fear cond.	Freezing (%) Cue-1	Pavlovian fear conditioning	non parametric	8.762153846	0.959070679	0	21.30857143	0.064774019	0	3.770285714	0.96655832	0	32.96432692	0.00158633	1	0.48291838	0.355884073
Pavlovian.fear.cond._Freezing.....Cue.2	Pavlovian fear cond.	Freezing (%) Cue-2	Pavlovian fear conditioning	non parametric	5.709948718	0.959070679	0	38.09571429	0.000527193	1	-0.443952381	0.96655832	0	41.08163462	0.00016128	1	0.067342792	0.550079364
Pavlovian.fear.cond._Freezing.....total	Pavlovian fear cond.	Freezing (%) total	Pavlovian fear conditioning	non parametric	-3.844974359	0.981339142	0	8.490714286	0.476272488	0	-6.466952381	0.853794297	0	13.70375	0.120852771	0	0.778760516	1.346284953
Pavlovian.fear.cond._Freezing.Cue.1	Pavlovian fear cond.	Freezing Cue 1	Pavlovian fear conditioning	non parametric	10.51282051	0.959070679	0	25.57142857	0.064774019	0	4.523809524	0.96655832	0	39.55769231	0.00158633	1	0.482868831	0.355878135
Pavlovian.fear.cond._Freezing.Cue.2	Pavlovian fear cond.	Freezing Cue 2	Pavlovian fear conditioning	non parametric	6.851282051	0.959070679	0	45.71428571	0.000527193	1	-0.533333333	0.96655832	0	49.29807692	0.00016128	1	0.067293125	0.550141745
Pavlovian.fear.cond._Freezing.Pre.cue.1	Pavlovian fear cond.	Freezing Pre-cue 1	Pavlovian fear conditioning	non parametric	-1.056410256	0.981339142	0	3	0.739718538	0	-2.276190476	0.954809836	0	0.759615385	0.919755607	0	0.503102814	0.959204385
Pavlovian.fear.cond._Freezing.Pre.cue.2	Pavlovian fear cond.	Freezing Pre-cue 2	Pavlovian fear conditioning	non parametric	5.179487179	0.959070679	0	8.142857143	0.428786778	0	-0.238095238	0.96655832	0	15.5	0.053052698	0	0.281994002	0.367398726
Pavlovian.fear.cond._Freezing.conditioning.Hab.1	Pavlovian fear cond.	Freezing conditioning Hab-1	Pavlovian fear conditioning	non parametric	3.487179487	0.959070679	0	-0.571428571	0.919691375	0	0.619047619	0.96655832	0	-0.759615385	0.817671605	0	0.860220064	0.017521905
Pavlovian.fear.cond._Freezing.conditioning.Hab.2	Pavlovian fear cond.	Freezing conditioning Hab-2	Pavlovian fear conditioning	non parametric	-0.266666667	0.98727751	0	-1.428571429	0.784324629	0	-0.123809524	0.979666245	0	3.163461538	0.474149781	0	0.402326345	0.449613787
Pavlovian.fear.cond._Freezing.conditioning.post.us1	Pavlovian fear cond.	Freezing conditioning post-us1	Pavlovian fear conditioning	non parametric	-10.07179487	0.959070679	0	19.42857143	0.110982776	0	-3.961904762	0.954809836	0	18.41346154	0.125079257	0	1.23892913	0.723096803
Pavlovian.fear.cond._context.freezing.con.1	Pavlovian fear cond.	context freezing con-1	Pavlovian fear conditioning	non parametric	-12.48205128	0.959070679	0	-6.142857143	0.70615475	0	-17.86666667	0.696839525	0	1.134615385	0.912505004	0	1.324131532	1.72317526
Pavlovian.fear.cond._context.freezing.con.2	Pavlovian fear cond.	context freezing con-2	Pavlovian fear conditioning	non parametric	-3.58974359	0.981339142	0	12.57142857	0.461415919	0	-7.80952381	0.934434446	0	16.96153846	0.175988471	0	0.552615976	1.286219471
Pavlovian.fear.cond._context.freezing.con.3	Pavlovian fear cond.	context freezing con-3	Pavlovian fear conditioning	non parametric	2.225641026	0.981339142	0	24.14285714	0.058130149	0	2.39047619	0.96655832	0	31.24038462	0.00910107	1	0.088244631	0.410125711
Pavlovian.fear.cond._freezing.total.context	Pavlovian fear cond.	freezing total context	Pavlovian fear conditioning	non parametric	-13.84615385	0.981339142	0	30.57142857	0.476272488	0	-23.28571429	0.853794297	0	49.33653846	0.120852771	0	0.778845151	1.346422119
Rotarod_Body.weight..g.	Rotarod	Body weight (g)	Rotarod test	normal	0.517948718	0.981339142	0	-5.114285714	1.17E-07	1	0.533333333	0.759754266	0	-5.128846154	1.59E-07	1	0.298774554	0.844814978
Rotarod_Mean.latency	Rotarod	Mean latency	Rotarod test	normal	14.85225641	0.959070679	0	53.54928571	0.016281638	1	-10.73609524	0.954809836	0	36.14019231	0.123023048	0	0.745155375	0.381995986
Rotarod_Trial.1..s.	Rotarod	Trial 1 (s)	Rotarod test	normal	10.37435897	0.981339142	0	52.07142857	0.068147997	0	-28.43333333	0.696839525	0	40.38942308	0.112844625	0	0.758725948	1.11835
Rotarod_Trial.2..s.	Rotarod	Trial 2 (s)	Rotarod test	normal	23.75897436	0.959070679	0	51.35714286	0.058130149	0	-5.933333333	0.96655832	0	37.21153846	0.182187344	0	0.852150094	0.19785492
Rotarod_Trial.3..s.	Rotarod	Trial 3 (s)	Rotarod test	normal	10.42564103	0.981339142	0	57.21428571	0.042173549	1	2.161904762	0.988577917	0	30.81730769	0.364245941	0	0.289598552	0.269852387
Shock.threshold_Vocalization	Shock threshold	Vocalization	Shock threshold test	non parametric	0.021333333	0.981339142	0	0.008571429	0.932653126	0	0.017761905	0.954809836	0	-0.027307692	0.703782044	0	0.654030318	0.207548563
Glucose.tolerance.test_Body.weight..g.	Glucose tolerance test	Body weight (g)	Test de Tolérance au Glucose (GTT)	normal	1.157692308	0.959070679	0	-4.465934066	6.07E-07	1	0.692857143	0.703332666	0	-4.395833333	2.46E-07	1	1.242145441	0.993950125
Glucose.tolerance.test_Glucose.T0..mmol.l.	Glucose tolerance test	Glucose T0 (mmol/l)	Test de Tolérance au Glucose (GTT)	normal	-0.036263736	0.996806401	0	0.258791209	0.61355388	0	-0.221428571	0.949907781	0	0.1625	0.723849051	0	0.231616749	0.44041467
Glucose.tolerance.test_Glucose.T120..mmol.l.	Glucose tolerance test	Glucose T120 (mmol/l)	Test de Tolérance au Glucose (GTT)	normal	0.326923077	0.977165934	0	-1.172527473	0.000527193	1	-0.057142857	0.96655832	0	-1.727083333	0.00016128	1	1.332389182	0.294642836
Glucose.tolerance.test_Glucose.T15..mmol.l.	Glucose tolerance test	Glucose T15 (mmol/l)	Test de Tolérance au Glucose (GTT)	normal	-0.218681319	0.981339142	0	0.040659341	0.995470993	0	-0.328571429	0.96655832	0	-0.14375	0.922001067	0	0.236318868	0.595622392
Glucose.tolerance.test_Glucose.T30..mmol.l.	Glucose tolerance test	Glucose T30 (mmol/l)	Test de Tolérance au Glucose (GTT)	normal	0.27967033	0.996806401	0	-2.371428571	0.086968905	0	-0.421428571	0.95601498	0	-2.1	0.121960638	0	0.077611409	0.495109697
Glucose.tolerance.test_Glucose.T60..mmol.l.	Glucose tolerance test	Glucose T60 (mmol/l)	Test de Tolérance au Glucose (GTT)	normal	-1.148901099	0.29049698	0	-2.678571429	0.000177745	1	-0.914285714	0.696839525	0	-2.7	0.00055717	1	1.291662759	0.713474084
Glucose.tolerance.test_Glucose.auc.positive..0.120...min.mmol.l.	Glucose tolerance test	Glucose auc positive (0-120) (min*mmol/l)	Test de Tolérance au Glucose (GTT)	normal	43.57692308	0.981339142	0	-294.2912088	0.000177745	1	12.85714286	0.96655832	0	-319.0625	0.000138869	1	0.477762941	0.125038699
Glucose.tolerance.test_Glucose.auc.0.120...min.mmol.l.	Glucose tolerance test	Glucose auc(0-120) (min*mmol/l)	Test de Tolérance au Glucose (GTT)	normal	-34.71428571	0.959070679	0	-236.4725275	0.000682572	1	-31	0.954809836	0	-240.8333333	0.001572394	1	0.582064713	0.375864525
Body.composition_BMC..g.	Body composition	BMC (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	log	0.002923077	1	0	-0.040714286	0.751288458	0	-0.001857143	0.988577917	0	-0.019471154	0.781503146	0	0.29034773	0.405175304
Body.composition_BMD..g.cm2.	Body composition	BMD (g/cm2)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	-0.000418974	1	0	-0.000907143	0.995470993	0	-0.000312381	0.99326451	0	-2.98E-05	0.999616784	0	0.601861493	0.226105456
Body.composition_Body.length..cm.	Body composition	Body length (cm)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.123589744	0.959070679	0	-0.15	0.428786778	0	0.118095238	0.703332666	0	-0.190384615	0.120852771	0	1.347067383	1.6132981
Body.composition_body.weight..g.	Body composition	body weight (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.216923077	0.981339142	0	-4.492857143	2.66E-06	1	0.125714286	0.954809836	0	-4.424038462	2.46E-07	1	0.155688444	0.626425093
Body.composition_bone.area..cm2.	Body composition	bone area (cm2)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.050153846	0.98727751	0	-0.527142857	0.050328052	0	-0.001714286	0.979666245	0	-0.322451923	0.033392791	1	0.122385652	0.420539195
Body.composition_fat.percent....	Body composition	fat percent (%)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	1.365948718	0.959070679	0	-5.682857143	0.000193539	1	0.669190476	0.949907781	0	-4.822307692	0.000495921	1	0.773223812	0.464846344
Body.composition_fat.weight..g.	Body composition	fat weight (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.444871795	0.959070679	0	-1.963571429	1.02E-05	1	0.204047619	0.767841844	0	-1.720865385	8.07E-07	1	0.746685586	0.668421531
Body.composition_lean.percent....	Body composition	lean percent (%)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	-1.365948718	0.959070679	0	5.682857143	0.000193539	1	-0.669904762	0.949907781	0	4.823076923	0.000495921	1	0.77320513	0.465076181
Body.composition_lean.weight..g.	Body composition	lean weight (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	-0.048307692	0.981339142	0	-2.76	0.00363696	1	-0.071	0.988577917	0	-2.754663462	0.00124058	1	0.160038143	0.463276216
Body.composition_sample.area..cm2.	Body composition	sample area (cm2)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.368974359	0.981339142	0	-2.849285714	2.02E-05	1	0.143809524	0.954809836	0	-2.494855769	3.48E-06	1	0.312650222	0.743908566
Body.composition_soft.weight..g.	Body composition	soft weight (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.395794872	0.98727751	0	-4.722857143	1.34E-05	1	0.133761905	0.954809836	0	-4.476298077	5.40E-07	1	0.185988998	0.626535976
Body.composition_total.weight..g.	Body composition	total weight (g)	Ultrafocus - Densitométrie osseuse et composition corporelle	normal	0.398410256	0.98727751	0	-4.762142857	1.55E-05	1	0.133190476	0.954809836	0	-4.495480769	6.43E-07	1	0.177227293	0.62800949
